[1506170766.05]	 data from PC: 'ANDROID:MAP:f803f0ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:000000000000000000000000000000000000000000000000000000000000000000000000'
[1506170766.05]	 data from PC: 'ARDUINO:INS:F'
[1506170766.05]	 data from PC: 'ANDROID:SP:28:2'
[1506170766.06]	 data from PC: 'ARDUINO:RS'
[1506170767.02]	 data from Arduino: '224\r\n'
[1506170767.07]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170767.07]	 data from Arduino: '224\r\n'
[1506170770.12]	 data from PC: 'ANDROID:MAP:f87ff0ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000000000000000000000000'
[1506170770.31]	 data from PC: 'ARDUINO:INS:R'
[1506170770.31]	 data from PC: 'ANDROID:SP:28:3'
[1506170770.31]	 data from PC: 'ARDUINO:RS'
[1506170771.29]	 data from Arduino: '224\r\n'
[1506170771.3]	 data from Arduino: '224\r\n'
[1506170771.35]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170771.35]	 data from Arduino: '224\r\n'
[1506170774.26]	 data from PC: 'ANDROID:MAP:f87ff0ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000000000000000000000000'
[1506170774.77]	 data from PC: 'ARDUINO:INS:F'
[1506170774.77]	 data from PC: 'ANDROID:SP:27:3'
[1506170774.77]	 data from PC: 'ARDUINO:RS'
[1506170775.56]	 data from Arduino: '224\r\n'
[1506170775.62]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170775.62]	 data from Arduino: '224\r\n'
[1506170776.27]	 data from PC: 'ANDROID:MAP:f87ff0ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000000000000000000000000'
[1506170779.63]	 data from PC: 'ARDUINO:INS:F'
[1506170779.63]	 data from PC: 'ANDROID:SP:26:3'
[1506170779.63]	 data from PC: 'ARDUINO:RS'
